tic_id,sector,fits_file,period,t0_bjd,t0_btjd,duration_hours,tstart,tstop,matched_transit_time
27007509,83,tess2024249191853-s0083-0000000027007509-0280-s_lc.fits,24.7576421,2454975.06892,-2024.9310800000094,7.361,3559.428769912971,3584.376821683678,3570.296034599991
27014562,81,tess2024196212429-s0081-0000000027014562-0276-s_lc.fits,49.276764,2454990.02543,-2009.9745700000785,3.696,3506.553746461906,3533.178936620823,3509.0229979999212
27014562,82,tess2024223182411-s0082-0000000027014562-0278-s_lc.fits,49.276764,2454990.02543,-2009.9745700000785,3.696,3533.394214836663,3559.248180548716,3558.2997619999214
27081773,76,tess2024058030222-s0076-0000000027081773-0271-s_lc.fits,3.35183158,2454964.64828,-2035.3517200001515,1.9405,3367.696428495933,3394.776050584858,3367.8007869598478
27081773,81,tess2024196212429-s0081-0000000027081773-0276-s_lc.fits,3.35183158,2454964.64828,-2035.3517200001515,1.9405,3506.553724691309,3533.178923345518,3508.577713319848
27081773,82,tess2024223182411-s0082-0000000027081773-0278-s_lc.fits,3.35183158,2454964.64828,-2035.3517200001515,1.9405,3533.394201637028,3559.248178129257,3535.3923659598486
27081773,83,tess2024249191853-s0083-0000000027081773-0280-s_lc.fits,3.35183158,2454964.64828,-2035.3517200001515,1.9405,3559.428731239918,3584.376827036338,3562.207018599848
27082724,74,tess2024003055635-s0074-0000000027082724-0269-s_lc.fits,12.73719978,2454969.01625,-2030.9837500001304,3.382,3312.861994848031,3339.567166953877,3318.640157599869
27082724,75,tess2024030031500-s0075-0000000027082724-0270-s_lc.fits,12.73719978,2454969.01625,-2030.9837500001304,3.382,3339.782443062783,3367.481110403894,3344.114557159869
27082724,81,tess2024196212429-s0081-0000000027082724-0276-s_lc.fits,12.73719978,2454969.01625,-2030.9837500001304,3.382,3506.553787507969,3533.178979968767,3509.698154299869
27082724,82,tess2024223182411-s0082-0000000027082724-0278-s_lc.fits,12.73719978,2454969.01625,-2030.9837500001304,3.382,3533.394258177855,3559.24821779673,3535.1725538598694
27082724,83,tess2024249191853-s0083-0000000027082724-0280-s_lc.fits,12.73719978,2454969.01625,-2030.9837500001304,3.382,3559.428770772931,3584.376843026332,3560.6469534198695
27083727,74,tess2024003055635-s0074-0000000027083727-0269-s_lc.fits,7.1,2454971.32271,-2028.6772900000215,5.1462,3312.861937320934,3339.567116190277,3317.6227099999787
27083727,75,tess2024030031500-s0075-0000000027083727-0270-s_lc.fits,7.1,2454971.32271,-2028.6772900000215,5.1462,3339.782392417229,3367.48107847641,3346.0227099999784
27083727,81,tess2024196212429-s0081-0000000027083727-0276-s_lc.fits,7.1,2454971.32271,-2028.6772900000215,5.1462,3506.553845989788,3533.179027495788,3509.3227099999785
27083727,82,tess2024223182411-s0082-0000000027083727-0278-s_lc.fits,7.1,2454971.32271,-2028.6772900000215,5.1462,3533.394305589159,3559.248245468303,3537.722709999978
27083727,83,tess2024249191853-s0083-0000000027083727-0280-s_lc.fits,7.1,2454971.32271,-2028.6772900000215,5.1462,3559.428798297006,3584.37684643311,3566.122709999978
27187386,74,tess2024003055635-s0074-0000000027187386-0269-s_lc.fits,16.45809937,2454967.01856,-2032.9814399997704,1.8214,3312.861977300517,3339.567145208193,3315.900855250229
